branch_id,name,area,city,hotline
BR-01,Gardenia Store (Flagship),"Madinat Al-Amal, Nasr City",Cairo,19857
BR-02,City Stars Mall,Nasr City,Cairo,19857
BR-03,El Nakheel Store,Nasr City,Cairo,19857
BR-04,Sheraton Al Matar,El Nozha,Cairo,19857
BR-05,Volcano Technology Mall (Bostan 2),"Fifth Settlement, New Cairo",Cairo,19857
BR-06,East Hub,Madinaty,Cairo,19857
BR-07,El Gezira Sporting Club,Zamalek,Cairo,19857
BR-08,Mall of Arabia,6th of October,Giza,19857
BR-09,Rivette Mall,"Amwaj, North Coast",Matrouh,19857
